translation_, rotation_
240.014,85.011, -36.482
240.014,85.011, -34.755
240.014,85.011, -33.086
240.014,85.011, -31.476
240.014,85.011, -29.924
240.014,85.011, -28.430
240.014,85.011, -26.995
240.014,85.011, -25.618
240.014,85.011, -24.299
240.014,85.011, -23.039
240.014,85.011, -21.837
240.014,85.011, -20.693
240.014,85.011, -19.608
240.014,85.011, -18.581
240.014,85.011, -17.612
240.014,85.011, -16.701
240.014,85.011, -15.849
240.014,85.011, -15.056
240.014,85.011, -14.320
240.014,85.011, -13.643
240.014,85.011, -13.025
240.014,85.011, -12.464
240.014,85.011, -11.962
240.014,85.011, -11.518
240.014,85.011, -11.133
240.014,85.011, -10.806
240.014,85.011, -10.537
240.014,85.011, -10.327
240.014,85.011, -10.174
240.014,85.011, -10.081
240.014,85.011, -10.045
240.014,85.011, -10.068
240.014,85.011, -10.068
240.033,85.007, -10.068
240.065,85.002, -10.068
240.110,84.994, -10.068
240.167,84.983, -10.068
240.238,84.971, -10.068
240.321,84.956, -10.068
240.417,84.939, -10.068
240.526,84.920, -10.069
240.647,84.898, -10.069
240.782,84.874, -10.070
240.929,84.848, -10.070
241.089,84.820, -10.071
241.262,84.789, -10.072
241.447,84.756, -10.073
241.646,84.721, -10.075
241.857,84.683, -10.077
242.081,84.644, -10.079
242.318,84.601, -10.082
242.567,84.557, -10.085
242.830,84.510, -10.088
243.105,84.461, -10.091
243.393,84.410, -10.095
243.693,84.357, -10.099
244.007,84.301, -10.103
244.333,84.243, -10.108
244.673,84.182, -10.113
245.024,84.119, -10.118
245.389,84.054, -10.123
245.767,83.987, -10.128
246.157,83.917, -10.132
246.560,83.845, -10.137
246.976,83.771, -10.141
247.405,83.694, -10.144
247.846,83.615, -10.146
248.301,83.534, -10.148
248.768,83.450, -10.147
249.247,83.364, -10.145
249.740,83.276, -10.140
250.246,83.186, -10.132
250.764,83.093, -10.121
251.295,82.998, -10.106
251.839,82.902, -10.085
252.396,82.803, -10.060
252.965,82.702, -10.027
253.548,82.599, -9.985
254.143,82.494, -9.935
254.752,82.388, -9.874
255.373,82.280, -9.799
256.007,82.171, -9.710
256.654,82.061, -9.604
257.314,81.950, -9.479
257.988,81.839, -9.332
258.674,81.727, -9.163
259.374,81.615, -8.967
260.087,81.504, -8.743
260.813,81.394, -8.491
261.553,81.286, -8.207
262.306,81.179, -7.892
263.072,81.075, -7.547
263.852,80.975, -7.173
264.638,80.879, -6.775
265.427,80.788, -6.364
266.219,80.702, -5.940
266.995,80.624, -5.522
267.759,80.553, -5.113
268.511,80.489, -4.714
269.250,80.430, -4.335
269.976,80.377, -3.974
